"Time","DC","Groundtruth"
2018-02-16 11:08:00,76,61
2018-02-16 11:13:00,76,62
2018-02-26 07:28:00,3,3
2018-02-26 07:33:00,4,3
2018-02-26 07:38:00,7,4
2018-02-26 07:43:00,7,4
2018-02-26 07:48:00,7,6
2018-02-26 07:53:00,7,6
2018-02-26 07:58:00,7,8
2018-02-26 08:03:00,8,8
2018-02-26 08:08:00,10,10
2018-02-26 08:13:00,16,14
2018-02-26 08:18:00,20,15
2018-02-26 08:23:00,21,22
2018-02-26 08:28:00,25,26
2018-02-26 08:33:00,31,30
2018-02-26 08:38:00,35,30
2018-02-26 08:43:00,37,32
2018-02-26 08:48:00,38,41
2018-02-26 08:53:00,46,44
2018-02-26 08:58:00,47,43
2018-02-26 09:03:00,52,44
2018-02-26 09:08:00,54,44
2018-02-26 09:13:00,55,47
2018-02-26 09:18:00,58,46
2018-02-26 09:23:00,58,47
2018-02-26 09:28:00,57,46
2018-02-26 09:33:00,54,48
2018-02-26 09:38:00,52,48
2018-02-26 09:43:00,52,46
2018-02-26 09:48:00,50,49
2018-02-26 09:53:00,50,55
2018-02-26 09:58:00,55,52
2018-02-26 10:03:00,64,55
2018-02-26 10:08:00,67,54
2018-02-26 10:13:00,66,55
2018-02-26 10:18:00,67,60
2018-02-26 10:23:00,70,59
2018-02-26 10:28:00,74,64
2018-02-26 10:33:00,75,66
2018-02-26 10:38:00,77,64
2018-02-26 10:43:00,78,63
2018-02-26 10:48:00,77,66
2018-02-26 10:53:00,80,60
2018-02-26 10:58:00,83,66
2018-02-26 11:03:00,85,69
2018-02-26 11:08:00,85,65
2018-02-26 11:13:00,82,57
2018-02-26 11:18:00,81,45
2018-02-26 11:23:00,71,48
2018-02-26 11:28:00,63,59
2018-02-26 11:33:00,63,55
2018-02-26 11:38:00,74,58
2018-02-26 11:43:00,74,64
2018-02-26 11:48:00,67,70
2018-02-26 11:53:00,77,67
2018-02-26 11:58:00,89,68
2018-02-26 12:03:00,90,72
2018-02-26 12:08:00,88,71
2018-02-26 12:13:00,88,70
2018-02-26 12:18:00,90,65
2018-02-26 12:23:00,92,65
2018-02-26 12:28:00,90,64
2018-02-26 12:33:00,88,62
2018-02-26 12:38:00,85,59
2018-07-30 16:00:00,40,33
2018-07-30 16:05:00,43,29
2018-07-30 16:10:00,42,17
2018-07-30 16:15:00,40,17
2018-07-30 16:20:00,33,14
2018-07-30 16:25:00,35,15
2018-07-30 16:30:00,34,14
2018-07-30 16:35:00,35,14
2018-07-30 16:40:00,35,15
2018-07-30 16:45:00,34,16
2018-07-30 16:50:00,30,16
2018-07-30 16:55:00,31,16
2018-07-30 17:00:00,33,16
2018-07-30 17:05:00,34,15
2018-07-30 17:10:00,33,15
2018-07-30 17:15:00,32,14
2018-07-30 17:20:00,30,12
2018-07-30 17:25:00,31,13
2018-07-30 17:30:00,31,13
2018-07-30 17:35:00,31,13
2018-07-30 17:40:00,32,12
2018-07-30 17:45:00,33,12
2018-07-30 17:50:00,33,11
2018-07-30 17:55:00,33,8
2018-07-30 18:00:00,30,9
2018-07-30 18:05:00,31,10
2018-07-30 18:10:00,30,10
2018-07-30 18:15:00,31,7
2018-07-30 18:20:00,26,7
2018-07-30 18:25:00,25,5
2018-07-30 18:30:00,21,8
2018-07-30 18:35:00,21,6
2018-07-30 18:40:00,21,5
2018-07-30 18:45:00,19,5
2018-07-30 18:50:00,17,5
2018-07-30 18:55:00,18,6
2018-07-30 19:00:00,16,6
2018-07-30 19:05:00,17,2
2018-07-30 19:10:00,18,2
2018-07-30 19:15:00,11,2
2018-07-30 19:20:00,11,2
2018-07-30 19:25:00,10,2
2018-07-30 19:30:00,11,1
2018-07-30 19:35:00,11,1
2018-07-30 19:40:00,10,1
2018-07-30 19:45:00,11,1
2018-07-30 19:50:00,11,1
2018-07-30 19:55:00,11,1
2018-07-30 20:00:00,11,1
2018-07-30 20:05:00,10,1
2018-07-30 20:10:00,10,1
2018-07-30 20:15:00,10,1
2018-07-30 20:20:00,12,0
2018-07-30 20:25:00,11,0
2018-07-30 20:30:00,10,0
2018-07-30 20:35:00,10,0
2018-07-30 20:40:00,10,0
2018-07-30 20:45:00,10,0
2018-07-30 20:50:00,10,0
2018-07-30 20:55:00,9,1
2018-07-30 21:00:00,10,0
2018-07-30 21:05:00,10,0
2018-07-30 21:10:00,9,0
2018-07-30 21:15:00,9,0
2018-07-30 21:20:00,9,0
2018-07-30 21:25:00,8,0
2018-07-30 21:30:00,8,0
2018-07-30 21:35:00,9,0
2018-07-30 21:40:00,8,0
2018-07-30 21:45:00,9,0
2018-07-30 21:50:00,8,0
2018-07-30 21:55:00,8,0
2018-07-30 22:00:00,8,0
2018-07-31 06:00:00,5,5
2018-07-31 06:05:00,5,5
2018-07-31 06:10:00,5,5
2018-07-31 06:15:00,5,5
2018-07-31 06:20:00,5,5
2018-07-31 06:25:00,5,5
2018-07-31 06:30:00,6,5
2018-07-31 06:35:00,6,5
2018-07-31 06:40:00,6,5
2018-07-31 06:45:00,7,5
2018-07-31 06:50:00,5,5
2018-07-31 06:55:00,5,5
2018-07-31 07:00:00,5,5
2018-07-31 07:05:00,5,5
2018-07-31 07:10:00,5,5
2018-07-31 07:15:00,5,5
2018-07-31 07:20:00,5,5
2018-07-31 07:25:00,5,5
2018-07-31 07:30:00,5,5
2018-07-31 07:35:00,5,5
2018-07-31 07:40:00,5,5
2018-07-31 07:45:00,5,5
2018-07-31 07:50:00,5,5
2018-07-31 07:55:00,5,5
2018-07-31 08:00:00,5,5
2018-07-31 08:05:00,5,5
2018-07-31 08:10:00,5,5
2018-07-31 08:15:00,5,5
2018-07-31 08:20:00,5,5
2018-07-31 08:25:00,6,5
2018-07-31 08:30:00,6,5
2018-07-31 08:35:00,6,5
2018-07-31 08:40:00,6,6
2018-07-31 08:45:00,7,6
2018-07-31 08:50:00,6,7
2018-07-31 08:55:00,6,7
2018-07-31 09:00:00,8,7
2018-07-31 09:05:00,10,7
2018-07-31 09:10:00,9,29
2018-07-31 09:15:00,9,29
2018-07-31 09:20:00,16,29
2018-07-31 09:25:00,16,29
2018-07-31 09:30:00,16,32
2018-07-31 09:35:00,16,32
2018-07-31 09:40:00,18,32
2018-07-31 09:45:00,17,30
2018-07-31 09:50:00,17,29
2018-07-31 09:55:00,14,30
2018-07-31 10:00:00,14,32
2018-07-31 10:05:00,14,32
2018-07-31 10:10:00,14,32
2018-07-31 10:15:00,14,32
2018-07-31 10:20:00,14,31
2018-07-31 10:25:00,14,33
2018-07-31 10:30:00,17,34
