Time,PIR_A105,PIR_A001,PIR_A105A,PIR_A107,PIR_A108,PIR_A109,PIR_A000,PIR_A101,PIR_A103,PIR_A201,PIR_A202,PIR_A203,PIR_A110,PIR_A111,PIR_A112,PIR_A204,PIR_A205,PIR_A206,PIR_A208,PIR_A209,PIR_A003,PIR_A210,PIR_A212,PIR_A911,PIR_A912,PIR_A911,CO2_A105,CO2_A101,CO2_A105A,CO2_A107 ,CO2_A108,CO2_A109,CO2_A000,CO2_A101,CO2_A103,CO2_A201,CO2_A202,CO2_A203,CO2_A110,CO2_A111,CO2_A112,CO2_A204,CO2_A208,CO2_A205,CO2_A206,CO2_A207,CO2_A209,CO2_A003,CO2_A212,CO2_A210,CO2_A912,CO2_A911,light,plug,devices,groundtruth
2018-03-02 10:06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,558.7302,462.0269,614.7651,531.8681,517.7045,487.9121,595.8486,641.7582,602.3862,516.7277,436.6301,548.9622,488.8889,489.2657,750.6715,492.7961,609.0354,491.8193,549.939,607.5702,741.8803,572.8937,653.9683,614.8962,379.9756,558.7576,5.14,1,26,11
2018-03-02 10:11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,558.7302,462.0269,614.7651,531.8681,517.7045,487.9121,595.8486,641.7582,602.3862,516.7277,436.6301,548.9622,488.8889,489.2657,750.6715,492.7961,609.0354,491.8193,549.939,607.5702,741.8803,572.8937,653.9683,614.8962,379.9756,558.7576,5.15,1,27,14
2018-03-02 10:16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,592.9182,463.9805,598.779,535.7753,523.5654,498.6569,596.8254,672.0179,621.4338,526.9841,444.9328,553.8462,492.7961,496.1033,754.3739,492.7961,616.8498,493.7729,552.8694,610.0122,752.6251,598.779,595.8486,621.7338,379.9756,558.7576,5.23,1,29,16
2018-03-02 10:21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,592.9182,463.9805,598.779,535.7753,523.5654,498.6569,596.8254,672.0179,621.4338,526.9841,444.9328,553.8462,492.7961,496.1033,754.3739,492.7961,616.8498,493.7729,552.8694,610.0122,752.6251,598.779,595.8486,621.7338,379.9756,590.9646,5.28,1,28,13
2018-03-02 10:26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,592.9182,463.9805,598.779,535.7753,523.5654,498.6569,596.8254,672.0179,621.4338,526.9841,444.9328,553.8462,492.7961,496.1033,754.3739,492.7961,616.8498,493.7729,552.8694,610.0122,752.6251,598.779,595.8486,621.7338,379.9756,590.9646,5.35,1,28,13
2018-03-02 10:31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,589.011,463.9805,616.8498,537.7289,526.0073,508.9133,597.8022,655.9218,631.6902,526.9841,446.8864,558.7302,504.0293,499.0337,767.7656,495.7265,630.0366,497.6801,565.5678,612.9426,826.8621,606.5934,597.8022,628.5714,379.9756,590.9646,5.27,1.03,26,13
2018-03-02 10:36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,589.011,463.9805,616.8498,537.7289,526.0073,508.9133,597.8022,655.9218,631.6902,526.9841,446.8864,558.7302,504.0293,499.0337,767.7656,495.7265,630.0366,497.6801,565.5678,612.9426,826.8621,606.5934,597.8022,628.5714,379.9756,590.9646,5.32,1.03,24,15
2018-03-02 10:41,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,589.011,463.9805,616.8498,537.7289,526.0073,508.9133,597.8022,655.9218,631.6902,526.9841,446.8864,558.7302,504.0293,499.0337,767.7656,495.7265,630.0366,497.6801,565.5678,612.9426,826.8621,606.5934,597.8022,628.5714,379.9756,590.9646,5.89,1.02,24,16
2018-03-02 10:46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,579.7314,465.9341,618.8034,535.7753,527.9609,509.8901,599.7558,659.829,660.5059,535.7753,451.7704,562.6374,507.9365,507.3365,770.696,505.0061,632.967,506.9597,573.8705,647.6191,753.6019,643.7119,607.5702,639.8046,379.9756,590.9646,5.34,1.02,25,17
2018-03-02 10:51,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,579.7314,465.9341,618.8034,535.7753,527.9609,509.8901,599.7558,659.829,660.5059,535.7753,451.7704,562.6374,507.9365,507.3365,770.696,505.0061,632.967,506.9597,573.8705,647.6191,753.6019,643.7119,607.5702,639.8046,379.9756,598.779,5.39,1.03,25,16
