Time,PIR_D102,PIR_D001,PIR_D103A,PIR_D104A,PIR_D104B,PIR_D105,PIR_D202,PIR_D203,PIR_D005,PIR_D206,PIR_D204,PIR_D207,PIR_D208,PIR_D205,PIR_D302,PIR_D301,PIR_D303,PIR_D304,PIR_D101A,CO2_D102,CO2_D001,CO2_D103A,CO2_D104A,CO2_D104B,CO2_D105,CO2_D202,CO2_D203,CO2_D005,CO2_D206,CO2_D204,CO2_D207,CO2_D302,CO2_D301,CO2_D303,CO2_D304,light,plug,devices,groundtruth
2018-06-18 19:29,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1160.928,1181.9292,579.7314,658.8522,651.0378,761.9048,722.8327,957.265,751.6483,685.7143,676.9231,689.6215,623.7642,663.7637,573.9473,709.6459,3.52,0.45,82,63
2018-06-18 19:34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1105.7388,1117.9487,594.8718,659.829,648.5959,764.8351,719.9023,963.1258,745.7875,684.7375,676.9231,689.6215,620.8338,665.6899,573.9473,715.0183,3.52,0.42,84,63
2018-06-18 19:39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1105.7388,1117.9487,594.8718,659.829,648.5959,764.8351,719.9023,963.1258,745.7875,684.7375,676.9231,689.6215,620.8338,665.6899,573.9473,715.0183,3.52,0.44,84,63
2018-06-18 19:44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1105.7388,1117.9487,594.8718,659.829,648.5959,764.8351,719.9023,963.1258,745.7875,684.7375,676.9231,689.6215,620.8338,665.6899,573.9473,715.0183,3.51,0.44,80,58
2018-06-18 19:49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1048.5958,1060.8059,586.569,652.0146,643.7119,750.6715,719.9023,966.0562,746.7643,687.6679,673.9927,689.6215,619.857,656.8986,573.9473,699.8779,3.52,0.42,77,45
2018-06-18 19:54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1048.5958,1060.8059,586.569,652.0146,643.7119,750.6715,719.9023,966.0562,746.7643,687.6679,673.9927,694.0171,619.857,656.8986,546.1085,699.8779,3.51,0.41,72,45
2018-06-18 19:59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1048.5958,1060.8059,586.569,652.0146,643.7119,750.6715,719.9023,966.0562,746.7643,687.6679,673.9927,694.0171,619.857,656.8986,546.1085,699.8779,3.52,0.38,72,45
2018-06-18 20:04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1023.6874,1060.8059,589.9878,651.0378,637.8511,745.7875,716.9719,968.9866,740.9035,687.6679,673.0159,694.0171,625.7178,654.9451,546.1085,694.9939,3.52,0.38,71,44
2018-06-18 20:09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1023.6874,1060.8059,589.9878,651.0378,637.8511,745.7875,716.9719,968.9866,740.9035,687.6679,673.0159,694.0171,625.7178,654.9451,546.1085,694.9939,3.36,0.39,68,43
2018-06-18 20:14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1023.6874,1060.8059,589.9878,651.0378,637.8511,745.7875,716.9719,968.9866,740.9035,687.6679,673.0159,694.0171,625.7178,654.9451,546.1085,694.9939,3.35,0.35,68,42
2018-06-18 20:19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,758.9744,748.7277,580.7082,658.8522,638.8278,743.8339,717.9487,968.9866,675.9463,682.7839,665.6899,694.0171,615.9498,655.9218,546.1085,691.5751,3.49,0.39,66,40
2018-06-18 20:24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,758.9744,748.7277,580.7082,658.8522,638.8278,743.8339,717.9487,968.9866,675.9463,682.7839,665.6899,683.7607,615.9498,655.9218,535.8521,691.5751,3.48,0.37,66,40
2018-06-18 20:29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,758.9744,748.7277,580.7082,658.8522,638.8278,743.8339,717.9487,968.9866,675.9463,682.7839,665.6899,683.7607,615.9498,655.9218,535.8521,691.5751,3.46,0.37,63,40
2018-06-18 20:34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,740.9035,717.9487,570.9402,644.6887,635.8975,702.8083,715.9951,968.9866,632.967,680.8303,664.7131,683.7607,615.9732,646.6423,535.8521,689.6215,3.47,0.37,60,39
2018-06-18 20:39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,740.9035,717.9487,570.9402,644.6887,635.8975,702.8083,715.9951,968.9866,632.967,680.8303,664.7131,683.7607,615.9732,646.6423,535.8521,689.6215,3.52,0.38,64,39
2018-06-18 20:44,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,740.9035,717.9487,570.9402,644.6887,635.8975,702.8083,715.9951,968.9866,632.967,680.8303,664.7131,683.7607,615.9732,646.6423,535.8521,689.6215,3.26,0.49,59,38
2018-06-18 20:49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,724.7863,719.9023,563.6142,651.0378,631.9902,662.7595,712.5763,968.9866,617.8266,677.8999,664.7131,683.7607,613.9962,643.9167,535.8521,685.7143,3.47,0.38,56,39
2018-06-18 20:54,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,724.7863,719.9023,563.6142,651.0378,631.9902,662.7595,712.5763,968.9866,617.8266,677.8999,664.7131,673.0159,613.9962,643.9167,529.0145,685.7143,3.47,0.38,56,30
2018-06-18 20:59,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,724.7863,719.9023,563.6142,651.0378,631.9902,662.7595,712.5763,968.9866,617.8266,677.8999,664.7131,673.0159,613.9962,643.9167,529.0145,685.7143,3.61,0.37,55,1
2018-06-18 21:04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,748.718,754.5787,554.823,642.735,628.5714,628.5714,706.7155,960.1954,612.9426,673.9927,659.829,673.0159,612.0426,647.6191,529.0145,680.8303,3.52,0.32,16,0
2018-06-18 21:09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,748.718,754.5787,554.823,642.735,628.5714,628.5714,706.7155,960.1954,612.9426,673.9927,659.829,673.0159,612.0426,647.6191,529.0145,680.8303,3.52,0.32,3,0
